code,word,language,word_type,text_color,background_color,font_size,font_family,font_style,font_path,noise_type1,noise_type2,noise_type3,angle,clean_path,noisy_path,binary_mask_path,indicocr_clean,indicocr_noisy,indicocr_acc_clean,indicocr_acc_noisy,output_path,indicocr_output,indicocr_acc_outpur
0,博物馆 4251,Chinese,mixed,darkcyan,linen,65,Ma_Shan_Zheng,MaShanZheng-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Ma_Shan_Zheng/MaShanZheng-Regular.ttf,staple holes,,compression artifacts,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/000.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/000.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/000.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/000.png,,
1,亿美元 310,Chinese,mixed,brown,peachpuff,56,Noto_Sans_SC,NotoSansSC-SemiBold,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Noto_Sans_SC/NotoSansSC-SemiBold.ttf,horizontal tear,resolution scaling,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/001.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/001.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/001.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/001.png,,
2,9584 看起来,Chinese,mixed,teal,aliceblue,47,Ma_Shan_Zheng,MaShanZheng-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Ma_Shan_Zheng/MaShanZheng-Regular.ttf,printer toner gaps,,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/002.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/002.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/002.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/002.png,,
3,消费者 9588,Chinese,mixed,dimgray,ivory,64,Noto_Sans_SC,NotoSansSC-Thin,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Noto_Sans_SC/NotoSansSC-Thin.ttf,water damage,,ink spread,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/003.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/003.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/003.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/003.png,,
4,4331 菲律宾,Chinese,mixed,lightgreen,gray,78,ZCOOL_XiaoWei,ZCOOLXiaoWei-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/ZCOOL_XiaoWei/ZCOOLXiaoWei-Regular.ttf,vertical tear,,paper texture interference,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/004.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/004.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/004.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/004.png,,
5,意大利 2825,Chinese,mixed,lightblue,olive,57,Long_Cang,LongCang-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Long_Cang/LongCang-Regular.ttf,printer toner gaps,watermarks,JPEG compression,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/005.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/005.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/005.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/005.png,,
6,2752 科学家,Chinese,mixed,mintcream,midnightblue,62,Ma_Shan_Zheng,MaShanZheng-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Ma_Shan_Zheng/MaShanZheng-Regular.ttf,printer toner gaps,,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/006.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/006.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/006.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/006.png,,
7,现代化 7969,Chinese,mixed,lightcyan,black,94,Noto_Sans_SC,NotoSansSC-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Noto_Sans_SC/NotoSansSC-Regular.ttf,random_erasure,color space mismatch,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/007.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/007.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/007.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/007.png,,
8,马来西亚 845,Chinese,mixed,linen,gray,117,ZCOOL_XiaoWei,ZCOOLXiaoWei-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/ZCOOL_XiaoWei/ZCOOLXiaoWei-Regular.ttf,random_erasure,ink bleed-through,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/008.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/008.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/008.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/008.png,,
9,2101 所有人,Chinese,mixed,skyblue,darkolivegreen,86,ZCOOL_KuaiLe,ZCOOLKuaiLe-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/ZCOOL_KuaiLe/ZCOOLKuaiLe-Regular.ttf,vertical tear,,glare,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/009.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/009.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/009.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/009.png,,
10,大学生 3453,Chinese,mixed,black,peachpuff,50,ZCOOL_KuaiLe,ZCOOLKuaiLe-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/ZCOOL_KuaiLe/ZCOOLKuaiLe-Regular.ttf,scribble,color space mismatch,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/010.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/010.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/010.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/010.png,,
11,1291 没什么,Chinese,mixed,navy,peachpuff,50,WDXL_Lubrifont_SC,WDXLLubrifontSC-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/WDXL_Lubrifont_SC/WDXLLubrifontSC-Regular.ttf,scanner streaks,,salt and pepper,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/011.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/011.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/011.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/011.png,,
12,4912 俱乐部,Chinese,mixed,lightgreen,darkslategray,57,Noto_Sans_SC,NotoSansSC-ExtraBold,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Noto_Sans_SC/NotoSansSC-ExtraBold.ttf,staple holes,,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/012.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/012.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/012.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/012.png,,
13,人民币 484,Chinese,mixed,lightcyan,steelblue,94,Ma_Shan_Zheng,MaShanZheng-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Ma_Shan_Zheng/MaShanZheng-Regular.ttf,partial occlusion,perspective distortion,JPEG compression,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/013.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/013.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/013.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/013.png,,
14,9360 中国共产党,Chinese,mixed,darkcyan,lightblue,77,Ma_Shan_Zheng,MaShanZheng-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Ma_Shan_Zheng/MaShanZheng-Regular.ttf,staple holes,wave distortion,paper texture interference,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/014.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/014.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/014.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/014.png,,
15,事实上 5065,Chinese,mixed,peachpuff,indigo,50,Noto_Serif_SC,NotoSerifSC-Bold,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Noto_Serif_SC/NotoSerifSC-Bold.ttf,water damage,,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/015.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/015.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/015.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/015.png,,
16,626 计算机,Chinese,mixed,linen,olive,49,Long_Cang,LongCang-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Long_Cang/LongCang-Regular.ttf,printer toner gaps,,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/016.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/016.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/016.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/016.png,,
17,8574 大多数,Chinese,mixed,indigo,lightcyan,106,Long_Cang,LongCang-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Long_Cang/LongCang-Regular.ttf,scribble,ink bleed-through,compression artifacts,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/017.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/017.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/017.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/017.png,,
18,任何人 2698,Chinese,mixed,lightcyan,darkred,118,Long_Cang,LongCang-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Long_Cang/LongCang-Regular.ttf,printer toner gaps,,compression artifacts,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/018.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/018.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/018.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/018.png,,
19,6239 全世界,Chinese,mixed,beige,darkgreen,85,ZCOOL_KuaiLe,ZCOOLKuaiLe-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/ZCOOL_KuaiLe/ZCOOLKuaiLe-Regular.ttf,scanner streaks,,character merging,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/019.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/019.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/019.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/019.png,,
20,领导人 7383,Chinese,mixed,white,chocolate,68,ZCOOL_XiaoWei,ZCOOLXiaoWei-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/ZCOOL_XiaoWei/ZCOOLXiaoWei-Regular.ttf,staple holes,resolution scaling,character merging,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/020.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/020.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/020.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/020.png,,
21,5309 中华人民共和国,Chinese,mixed,paleturquoise,darkblue,90,Noto_Sans_SC,NotoSansSC-Medium,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Noto_Sans_SC/NotoSansSC-Medium.ttf,double scan,text ghosting,ambient noise,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/021.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/021.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/021.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/021.png,,
22,实际上 8875,Chinese,mixed,darkgreen,lightcyan,40,Noto_Sans_SC,NotoSansSC-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Noto_Sans_SC/NotoSansSC-Regular.ttf,scribble,,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/022.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/022.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/022.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/022.png,,
23,第一个 686,Chinese,mixed,linen,darkslategray,109,ZCOOL_XiaoWei,ZCOOLXiaoWei-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/ZCOOL_XiaoWei/ZCOOLXiaoWei-Regular.ttf,water damage,resolution scaling,uneven illumination,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/023.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/023.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/023.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/023.png,,
24,267 社会主义,Chinese,mixed,olive,lightyellow,73,WDXL_Lubrifont_SC,WDXLLubrifontSC-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/WDXL_Lubrifont_SC/WDXLLubrifontSC-Regular.ttf,printer toner gaps,,uneven illumination,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/024.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/024.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/024.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/024.png,,
25,519 新加坡,Chinese,mixed,powderblue,darkolivegreen,64,Long_Cang,LongCang-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Long_Cang/LongCang-Regular.ttf,double scan,,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/025.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/025.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/025.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/025.png,,
26,西班牙 1628,Chinese,mixed,firebrick,lavender,104,WDXL_Lubrifont_SC,WDXLLubrifontSC-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/WDXL_Lubrifont_SC/WDXLLubrifontSC-Regular.ttf,random scratches,text ghosting,character merging,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/026.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/026.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/026.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/026.png,,
27,8675 大部分,Chinese,mixed,midnightblue,beige,69,ZCOOL_XiaoWei,ZCOOLXiaoWei-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/ZCOOL_XiaoWei/ZCOOLXiaoWei-Regular.ttf,scanner streaks,,character merging,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/027.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/027.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/027.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/027.png,,
28,5215 国民党,Chinese,mixed,firebrick,lavender,78,Noto_Sans_SC,NotoSansSC-ExtraLight,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Noto_Sans_SC/NotoSansSC-ExtraLight.ttf,horizontal tear,,blur,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/028.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/028.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/028.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/028.png,,
29,505 电视台,Chinese,mixed,mistyrose,firebrick,40,Long_Cang,LongCang-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Long_Cang/LongCang-Regular.ttf,printer toner gaps,watermarks,compression artifacts,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/029.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/029.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/029.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/029.png,,
30,5125 联合国,Chinese,mixed,firebrick,peachpuff,86,Long_Cang,LongCang-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Long_Cang/LongCang-Regular.ttf,water damage,,glare,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/030.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/030.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/030.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/030.png,,
31,4137 互联网,Chinese,mixed,lightgray,brown,73,Long_Cang,LongCang-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Long_Cang/LongCang-Regular.ttf,printer toner gaps,,paper texture interference,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/031.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/031.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/031.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/031.png,,
32,9504 毛泽东,Chinese,mixed,black,peachpuff,82,ZCOOL_KuaiLe,ZCOOLKuaiLe-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/ZCOOL_KuaiLe/ZCOOLKuaiLe-Regular.ttf,scanner streaks,,paper texture interference,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/032.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/032.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/032.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/032.png,,
33,814 是因为,Chinese,mixed,slategray,mintcream,48,Long_Cang,LongCang-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Long_Cang/LongCang-Regular.ttf,partial occlusion,,aliasing,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/033.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/033.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/033.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/033.png,,
34,9835 怎么办,Chinese,mixed,olive,silver,84,Noto_Serif_SC,NotoSerifSC-SemiBold,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Noto_Serif_SC/NotoSerifSC-SemiBold.ttf,horizontal tear,ink bleed-through,scan line artifacts,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/034.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/034.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/034.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/034.png,,
35,4354 一部分,Chinese,mixed,silver,teal,102,ZCOOL_KuaiLe,ZCOOLKuaiLe-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/ZCOOL_KuaiLe/ZCOOLKuaiLe-Regular.ttf,scanner streaks,perspective distortion,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/035.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/035.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/035.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/035.png,,
36,6314 有限公司,Chinese,mixed,lightgreen,darkolivegreen,82,Noto_Sans_SC,NotoSansSC-Bold,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Noto_Sans_SC/NotoSansSC-Bold.ttf,vertical tear,,aliasing,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/036.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/036.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/036.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/036.png,,
37,共产党 2123,Chinese,mixed,saddlebrown,lightyellow,119,Long_Cang,LongCang-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/Long_Cang/LongCang-Regular.ttf,vertical tear,paper curl,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/037.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/037.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/037.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/037.png,,
38,越来越 3494,Chinese,mixed,gray,powderblue,46,WDXL_Lubrifont_SC,WDXLLubrifontSC-Regular,/DATA1/ocrteam/word_restoration/reconstruction/datasets/fonts/Chinese/WDXL_Lubrifont_SC/WDXLLubrifontSC-Regular.ttf,printer toner gaps,color space mismatch,,0,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/clean/038.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/noisy/038.png,/DATA1/ocrteam/word_restoration/reconstruction/test/Chinese_test_sample_dataset/bitmask/038.png,,,,,/DATA1/ocrteam/word_restoration/reconstruction/test/Gujarati_test_sample_dataset/output/038.png,,
